date,trend_1,trend_2,trend_3,trend_4,trend_5
2022-11-02 18:22:27.153868,Zimbabwe vs Netherlands,Sports,%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4 %E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE %E0%A4%AC%E0%A4%BE%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6,Marseille vs Tottenham,CET Admit Card
2022-11-03 18:27:36.589212,IND vs Bangladesh,Man City vs Sevilla,Imran Khan,Chelsea vs Dinamo Zagreb,Tulsi Vivah 2022
2022-11-04 18:21:29.287134,New Zealand vs Ireland,Brahmastra,Phone Bhoot,Virat Kohli Birthday,Arsenal vs FC Zurich
2022-11-05 18:19:36.350707,UGC NET Result 2022,Man City vs Fulham,Kerala Blasters,PAK vs BAN,Vestibular Hypofunction
2022-11-06 18:20:07.960934,India vs Zimbabwe,Netherlands vs South Africa,Sports,Munugode Election Results,Mumbai City vs ATK Mohun Bagan
2022-11-07 18:21:27.990305,Champions League,Guru Nanak Jayanti,Dev Diwali 2022,Europa League,Bikaji IPO GMP
2022-11-08 18:24:54.553182,IND vs ENG,TNPSC,Vestibular hypofunction,Barcelona,Chris Evans
2022-11-09 18:21:03.149238,Earthquake in Delhi,Earthquake in Delhi today,US Midterm Elections,Latest News,Meta
2022-11-10 18:21:17.320518,Suryakumar Yadav,Arsenal vs Brighton,Liverpool vs Derby County,Rishabh Pant,Football World Cup 2022
2022-11-11 18:22:32.476579,Yashoda,Siddhaanth Vir Surryavanshi,Real Madrid vs C%C3%A1diz,Monica O My Darling,PAK vs ENG
2022-11-12 18:19:51.195955,Earthquake today,Man City vs Brentford,Liverpool vs Southampton,Tottenham vs Leeds United,F1
2022-11-13 18:19:59.203514,Fulham vs Man United,Wolves Vs Arsenal,Children's Day,UFC 281,Shadab Khan
2022-11-14 18:20:27.151651,Doodle for Google  India winner,Krishna,Juventus vs Lazio,BPSC,Cristiano Ronaldo
2022-11-15 18:20:08.952695,IPL Retention List,Kieron Pollard,World Population,Jennifer Aniston,Pete Davidson
2022-11-16 18:20:00.092139,UAE vs Argentina,Poland,MS Dhoni,Bikaji Share Price,Saudi Arabia vs Croatia
2022-11-17 18:19:42.352164,AUS vs ENG,IND vs NZ,Paytm Share Price,IRFC Share Price,BPSC result
2022-11-18 18:21:27.540005,Drishyam 2,Live Score,Portugal vs Nigeria,Sports,Gaalodu Movie Rating
2022-11-19 18:19:01.344216,Australia vs England,Qatar vs Ecuador,Godfather,Indira Gandhi,FIFA World Cup games
2022-11-20 18:18:43.684102,Aindrila Sharma,Deepak Hooda,Argentina vs Saudi Arabia,Amazon prime,IND %E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE NZ
2022-11-21 18:20:29.089955,Marie Tharp,Vijay Hazare Trophy,Jason David Frank,Iran national football team,Indonesia
2022-11-22 18:20:09.786832,Australia vs England,Cricket,Denmark vs Tunisia,Mexico vs Poland,Sports
2022-11-23 18:18:40.975858,Portugal vs Ghana,Suryakumar Yadav,Ronaldo,Brazil vs Serbia,Abu Dhabi T10
2022-11-24 18:19:28.053457,FIFA World Cup standings,Kantara,Thanksgiving 2022,Richa Chadha,Myositis
2022-11-25 18:19:04.253438,IND vs NZ,Brazil vs Serbia,Qatar vs Senegal,Netherlands vs Ecuador,Bhediya
2022-11-26 18:17:17.223777,26/11,Constitution of India,HTET Admit Card,Japan vs Costa Rica,Amber Heard
2022-11-27 18:17:34.777853,Croatia vs Canada,IND vs NZ ODI,SL vs AFG,Brazil vs Switzerland,Shubman Gill
2022-11-28 18:19:13.873915,Ruturaj Gaikwad,Jamal Musiala,Ecuador vs Senegal,Ozil,GATE 2023
2022-11-29 18:18:10.558030,Iran vs USA,Poland vs Argentina,LOONA Chuu,Kashmir Files,KVS Recruitment 2022
2022-11-30 18:19:30.796301,Australia vs West Indies,Cricket,Sports,IND vs NZ LIVE,NDTV
2022-12-01 18:19:13.975197,England vs Pakistan,Japan vs Spain,Gujarat Election,Mexico,G20 Presidency
2022-12-02 18:17:10.296991,HIT 2 Review,Monster,Christine McVie Fleetwood Mac,Jubin Nautiyal,Ricky Ponting
2022-12-03 18:17:03.315108,Argentina vs Australia,France vs Poland,Switzerland,FIFA World Cup 2022 Table,Pele
2022-12-04 18:16:20.015985,Indian Navy Day,Japan vs Croatia,IND vs BAN channel,Kerala Blasters,FIFA World Cup teams
2022-12-05 18:17:50.212800,England Vs Senegal,World Cup brackets,Brazil vs South Korea,Gujarat Election,Morocco vs Spain
2022-12-06 18:17:59.978644,Portugal vs Switzerland,Apurva Padgaonkar,UPSC Mains Result 2022,Kirstie Alley,BR Ambedkar death anniversary
2022-12-07 18:17:59.500012,Fifa World Cup brackets,Gujarat Election results,Rohit Sharma,Election Commission of Delhi,Rohit Sharma Injury
2022-12-08 18:17:45.870804,Himachal Pradesh CM,Rampur Election Result,Mainpuri Election Result,Chennai Weather,Ravindra Jadeja
2022-12-09 18:17:40.391795,Croatia vs Brazil,IND-W vs AUS-W,Netherlands vs Argentina,Morocco vs Portugal,Marnus Labuschagne
2022-12-10 18:16:58.817489,IND vs BAN,Cricket,Sports,England vs France,Argentina vs Croatia
2022-12-11 18:17:09.035948,World Cup games,France vs Morocco,Liverpool vs Lyon,Aston Villa vs Chelsea,Antoine Griezmann
2022-12-12 18:18:23.090503,Maria Telkes,Yes Bank Share Price,Sula Vineyards IPO,Ram Charan,Uniparts Share Price
2022-12-13 18:17:45.384075,Arsenal vs Milan,Zika virus,Taylor Swift,India-China news,Big Bash League
2022-12-14 18:18:05.591373,France vs Morocco,Rishabh Pant,IND-W vs AUS-W T20,IND vs BAN Test 2022,Ronaldinho
2022-12-15 18:16:15.673274,Croatia vs Morocco,JEE Main 2023,IRCTC Share Price,Henry Cavill,Karim Benzema
2022-12-16 18:16:51.853325,Govinda Naam Mera,Shubman Gill,Big Bash League,Liverpool vs Milan,Horoscope
2022-12-17 18:15:25.499407,Croatia vs Morocco,PAK vs ENG,South Africa vs Australia,IND-W vs AUS-W,SSC CGL Answer Key
2022-12-18 18:15:28.182994,Argentina vs France,Football,Bigg Boss 6 Telugu Winner,%E0%A4%85%E0%A4%B0%E0%A5%8D%E0%A4%9C%E0%A5%87%E0%A4%82%E0%A4%9F%E0%A5%80%E0%A4%A8%E0%A4%BE %E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%B8%E0%A5%87%E0%A4%B8 %E0%A4%AB%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%82%E0%A4%B8,Jaipur Pink Panthers vs Puneri Paltan
2022-12-19 18:17:39.981971,Cristiano Ronaldo,Neymar,Oppenheimer,Kerala Blasters,Olivier Giroud
2022-12-20 18:16:44.820644,IND W vs AUS W,China Covid,Gram Panchayat Election 2022 Maharashtra Result,Tom Cruise,Elin Electronics IPO GMP
2022-12-21 18:16:56.875379,Coronavirus News,Emily in Paris,Jack Ryan, season 3,Finland,Charles Sobhraj
